,description,value
427,"<html><body><ul><li>3+ years of Project management experience for Embedded Projects and has successfully handled complete project life cycle</li><li>Experience in handling a development project with team members of 10 to 15 and managed the RBEI Quality process and project management aspects ( Prime, PSR, Audits,...). </li><li>Experience working with agile process</li><li>Experience in Automotive Infotainment Domain and Navigation development with exposure to Linux based Platforms, HMI, Middleware, Core Components, Navigation Data</li><li>Good understanding of Procurement Management – for contracts and agreements related work</li><li>Strong in the area of Scope Management – especially in Requirements gathering, analysis, decomposition, traceability</li><li>Very good in communication and Stakeholder Management</li><li>Able to create overall software plan (SOP planning), Drive and Track the progress effectively</li><li>Willingness to provide hands on guidance to the project teams as part of steering the projects forward</li><li>Is able to coordinate with other areas, e.g. Test, HW, prototype construction, customer etc</li><li>Coordination of Change Request management and planning for SW configuration</li><li>Hands on in Risk Management – identification, assessment and control the same</li></ul></body></html>",Bengaluru
428,"<html><body><ul><li><p>Total 4+ years of experience with min 2 +  years of experience with IBM Planning Analytics  and min 2  in IBM TM1</p></li><li><p>Experience in at least 2 projects with complete software development lifecycle</p></li><li><p>Experience in implementing at least 2 end to end IBM PA / TM1 projects</p></li><li><p>Min 2+ years of experience in developing end-to-end analytics solutions, including system configuration, model building, data security, and reporting, TM1 cubes / Rules / TI processes / Active Forms / Web sheets.</p></li><li><p>Experience in design and develop new functionalities and integrate it with existing complex model.</p></li><li><p>Experience with :</p><ul><li><p>MS Excel, VBA Scripting.</p></li><li><p>SQL – Basics.</p></li><li><p>Windows batch scripts.</p></li><li><p>Unix.</p></li><li><p>Experience with any Object Oriented Programming language (preferably Python).</p></li></ul></li></ul><p>Experience with Job scheduler and monitoring tools (preferably cubewise pulse).</p></body></html>",Bengaluru
429,"<html><body><p>Mandatory Skills</p><p>Programming experience in embedded C , C++ and  Good knowledge of embedded OS concepts (Linux).</p><p>- Android HAL development Infotainment Media, Audio, Phone, Camera, BT, radio, Vehicle or any other HAL modules</p><p>-Good understanding of Android architecture and Framework (AOSP, Binder IPC, Application framework)</p><p>Multi-threaded programming using POSIX &amp; Good understanding of Access control &amp; user privilege mechanism in Linux</p><p>Experience in working with ARM /X86/ Multi core processor environment</p><p>Desired Skills</p><p>Experience in using communication peripherals and good hold on concepts of CAN, Ethernet, USB, HDMI</p><p>- Hands on development experience and expertise in anyone  of the infotainment domain Connectivity, BT phone, Park assistance, or Radio</p></body></html>",Coimbatore
430,"<html><body><p><u><strong>The team that you will work with :</strong></u></p><p>Being part of software research and development team, you will develop applications using Core java and python scripts. You will have very good platform to work with data science, DevOps and cloud solutions.</p><p><u><strong>You must have possessed strong skillset in below areas :</strong></u></p><ul><li>2~4 years of experience</li><li>Expertise in Java with exceptional core Java skills, threading, OOP</li><li>DevOps &amp; Continuous Integration experience</li><li>Work experience in GIT, ALM and Jenkins</li><li>Good debugging and Analytical skills</li></ul><p><strong><u>It will be added advantage, if you have below skillsets :</u></strong></p><ul><li>Hands on experience in python scripts development</li><li>Cloud deployment - Azure Pipelining</li><li>Exposure to AWS / Azure / Google cloud platforms</li></ul></body></html>",Coimbatore
431,"<html><body><p><strong>Project Overview</strong></p><p>We are working on state of the art technologies to develop software, setup infrastructure for collection and analysis of data from vehicles and offer cloud based services.</p><ul><li>We are responsible for Asia pacific region (Korea, Japan, China, India…) for complete ASW solutions.</li><li>We develop System and Software functions for BOSCH platform and OEM specific project requirements for various topologies.</li><li>We are in close collaboration with PS-EC departments as well as system engineering departments for concept and software development for global customers.</li></ul><p> <strong>Key Responsibilities</strong></p><ul><li>Complete ASW solution for Software Collection infrastructure</li><li>Development of functions, Software using MatLab and ASCET tools.</li><li>Compliance to ASPICE Standards</li><li>Test in Open loop and Closed loop systems</li><li>Working with VCU and VCU-P Control Units</li><li>Work as part of multi-cultural teams working for global projects</li></ul><p> <strong>Mandatory skills</strong></p><ul><li>Strong in Embedded C or C++</li><li>Candidate should be passionate about automotive engineering.</li><li>Knowledge on ECU platform</li><li>Knowledge in MATLAB, ASCET and other Modeling and Auto-coding tools</li><li>Knowledge on Requirement management tools like DOORS, RQ1.</li><li>Knowledge on software configuration management tools (like eASEE/SCM)</li><li>Knowledge in PC based testing tools (Like TPT etc.)</li><li>Testing in close loop environment (INCA, ETAS tools) and vehicle validation will be added advantage.</li><li>Driving experience and ability to relate to theoretical mechanics will be an added advantage</li><li>Good team player, good communication skills, flexible in working.</li><li>Basic Knowledge on communication protocols (e.g., CAN, LIN, / Input-Output (ADC, PWM) / Memory (EEPROM, FLASH, NVM) / Micro-controller (Micro controller startup, Timers)</li><li>Fundamentals on Automotive physics and components</li></ul></body></html>",Coimbatore
432,"<html><body><ul><li>Experienced System developer. Focus ICE Gasoline system Development with ASCET or ML/SL.</li><li>With overview of different functions and usecases (Autosar based, MSR based, different BCs, platform / customer specific function development).</li><li>Good Process knowledge in SW / Fn + SW Unit Test + SFT + Tests on System level.</li><li>Experience in ASPICE assessments / ASPICE Model</li><li>SDOM or ALM knowledge.</li><li>Good presentation skills</li><li>Good communication skills, able to understand and express needs of different stakeholders (Users, QMM, Customer, ..)</li><li>Work in an international team</li></ul></body></html>",Coimbatore
433,,Coimbatore
434,,Coimbatore
435,<html><body><p><strong>Tasks</strong></p><ul><li>Requirements gathering &amp; analysis</li><li>Provide inputs on technical topics for estimation</li><li>High Level and Low Level Design</li><li>Preparation of test specifications and review</li><li>Development of middleware component using C++ on Embedded Linux and Android</li><li>Analyzing and fixing of issues in the component reported from tests</li><li>Assure product quality characteristics fulfillment</li><li>Adaptation/extensions to existing software component</li><li>Support customer projects in analyzing and fixing the issues reported in integrated product environment</li></ul></body></html>,Coimbatore
436,"<html><body><p><strong> Technical Skills: </strong></p><ul><li>Expertise in Hypervisor based systems (Preferably on Redbend, QNX, Xen) and CPU virtualization technologies</li><li>Design, Develop and test device drivers in Linux/Android/QNX platform.</li><li>Multithreaded programming, usage of IPCs, Interrupts &amp; synchronization methods.</li><li>Expertise in using the communication protocols (I2C, SPI &amp; UART) in the device driver.</li><li>Expertise in handling Device Tree based configurations.</li><li>Know how on Porting device drivers into Hypervisor environment.</li><li>Strong C &amp; C++ programming skills, OOPS concepts</li><li>Android Architecture knowhow</li><li>Strong in software development for real-time embedded systems</li><li>Experienced in Design/Architecture Tools like EA</li><li>Expertise in</li></ul><p>o    SCM Tools like GIT/GERRIT</p><p>o    ALM Tools like RTC</p><p>o    Requirements Management Tools like DOORS</p><ul><li>Set up and maintain build and release infrastructure for code patches and kernel builds</li><li>Experience in Yocto based build concepts &amp; Bitbake tool know how.</li><li>Ability to create and review changes for Gerrit and participate in a continuous integration loop</li><li>Ability to rebuild the entire QNX/ Linux/Android system including the kernel, middleware and applications</li><li>Experience in Unit test tools like GTest.</li><li>Know-how and experience of SAFe/Agile Development</li><li>Knowledge in Automotive Safety Standards and Processes (ASPICE).</li><li>Logical, Analytical and Debugging/Problem-Solving skills</li></ul></body></html>",Coimbatore
437,"<html><body><p><strong> Technical Skills: </strong></p><p> </p><ul><li>Design, Develop and test device drivers in Linux/Android/QNX platform.</li><li>Multithreaded programming, usage of IPCs, Interrupts &amp; synchronization methods.</li><li>Expertise in using the communication protocols (I2C, SPI &amp; UART) in the device driver.</li><li>Expertise in Video serialiser and de-serialiser handling</li><li>Knowledge on different video signals and handling of the same.</li><li>Expertise in handling Device Tree based configurations.</li><li>Know how on Porting device drivers into Hypervisor environment.</li><li>Strong C &amp; C++ programming skills, OOPS concepts</li><li>Android Architecture knowhow</li><li>Strong in software development for real-time embedded systems</li><li>Experienced in Design/Architecture Tools like EA</li><li>Expertise in</li></ul><p>o    SCM Tools like GIT/GERRIT</p><p>o    ALM Tools like RTC</p><p>o    Requirements Management Tools like DOORS</p><ul><li>Set up and maintain build and release infrastructure for code patches and kernel builds</li><li>Experience in Yocto based build concepts &amp; Bitbake tool know how.</li><li>Ability to create and review changes for Gerrit and participate in a continuous integration loop</li><li>Ability to rebuild the entire QNX/ Linux/Android system including the kernel, middleware and applications</li><li>Experience in Unit test tools like GTest.</li><li>Know-how and experience of SAFe/Agile Development</li><li>Knowledge in Automotive Safety Standards and Processes (ASPICE).</li><li>Logical, Analytical and Debugging/Problem-Solving skills</li></ul></body></html>",Coimbatore
438,"<html><body><p>Wi-Fi</p><ul><li>            Good knowledge in WiFi protocols (802.11b, g, n, ac, ax)</li><li>            Good understanding of wlan driver interfaces like NL80211, CFG80211</li><li>            Good understanding of Networking subsystem in Linux kernel.</li><li>            Good understanding of Host IO interfaces like PCIE.</li><li>            Basic understanding of Wifi Direct and Access point functionalities.</li><li>            Basic understanding of Wpa supplicant, hostapd.</li><li>            Strong C programming skills.</li><li>            Hands on experience in kernel programming.</li></ul><p>           </p><p>Bluetooth</p><p> </p><ul><li>       Good understanding of Bluedroid, Bluez or other bluetooth stacks</li><li>       Good understanding of Bluetooth profiles such as HFP, A2DP and other profiles.</li><li>       Good understanding of Host controller interface.</li><li>       Good knowledge in serial interfaces like Uart.</li><li>       Strong C programming skills.</li><li>       Hands on experience in kernel programming.</li></ul></body></html>",Coimbatore
439,"<html><body><p>Mandatory Skills<br/>• C++, Design patterns, Object Oriented programming, OOAD &amp; UML<br/>• Experience in embedded Linux board based development, Cross platform development and GNU tools Knowledge on Over-The-Air communication protocol specifications like OMA DM<br/>• Debugging using GDB, JTAG<br/>Desired<br/>• Experience in design and development of SW download and Update solutions for embedded systems<br/>• Domain and system knowledge on car multimedia domain<br/>• System Software Update, Package Management, Distribution Management<br/>• Version Control Systems – GIT, Clear Case<br/>• Knowledge on ARM, QC and Renesas systems<br/>• Exposure to general build system configuration (Makefiles, etc.)<br/>• Knowledge of Open Source development<br/>• Knowledge on OPENSSL</p></body></html>",Coimbatore
440,"<html><body><p>Good Experience in Test Automation Development and Execution for Automobile products</p><p>Experience in converting System and SW requirements to Test Design/Test cases</p><p>Strong Experience in Python Scripting</p><p>Strong Experience in using Python based Test Automation Frameworks like RFW, EXAM etc</p><p>Experience in Delivery and customer engagement</p><p>Added advantage on having knowhow on ASPICE</p></body></html>",Coimbatore
441,"<html><body><p><strong>Experience and Know-How:</strong></p><p>Very good knowledge and experience in functional safety, ISO 26262:2018, analysis methods (e.g. FMEDA, FTA, DFA);</p><p>Good knowledge of electronics, electrical circuits, electrical drives;</p><p>Experience in system development, system definition, system partitioning, requirements management and agile methodologies;</p><p>Basic knowledge of electrical steering systems;</p><p>Strong background in Automotive Steering development in the past</p><p>Enthusiasm for the topic of ""Functional Safety"" in hardware and across the board in the context of understanding the Steering Control Unit.</p><p>​​​​​​​<strong>Tools: </strong></p><p>Doors and Enterprise Architect, SOX, Ansys Medini, Reliability Workbench or comparable.</p><p>Languages: Very good English (written and spoken), basics German.</p><p><strong>Personality:</strong></p><p>Ability to work under pressure, independent, analytical thinking and organizational skills,<br/>Assertiveness, ability to work in a team in an international environment, high degree of goal and result orientation, willingness to travel.</p><p><strong>Responsibility:</strong></p><p>Taking into account the requirements of the steering system and the functional architecture of the Steering Control Unit, you will define and describe the technical as well as safety requirements of the ECU, taking into account costs, deadlines and Bosch quality requirements. During implementation, you will take into account the approach and methods of other Bosch divisions</p><p>You will be responsible for the technical analyses of the hardware safety concepts, linking them to the requirements of the platform projects and representing their results to best support the product development.</p><p>You coordinate the safety-relevant technical interfaces between different internal and external areas. In particular, you take into account the higher-level requirements of the Steering Control Unit, from which the ECU requirements and architecture are derived</p><p>In the context of development and product optimization, you evaluate the influences of the requirements in a structured manner as well as analyze the hardware system architecture and hardware implementation with regard to functional safety and develop optimization proposals.</p><p>You will work across divisions in the international development network and support the respective locations in the definition and integration of the respective product architecture.</p><p> </p></body></html>",Coimbatore
442,"<html><body><p><strong>Responsibilities:</strong></p><ul><li>Review requirements, specifications and technical design documents to provide timely and meaningful feedback</li><li>Review workflows and understand/gather requirements necessary to automate.</li><li>Provide feedback regarding leveraging/optimizing automation technology.</li><li>Design, develop and execute tests using automated test tools using open source and eggplant automation, as well as manual test development process, for the verification of software requirements.</li><li>Apply key testing methods to web applications within an Agile environment.</li><li>Create detailed, comprehensive and well-structured test plans and test cases.</li><li>Estimate, prioritize, plan and coordinate testing activities.</li><li>Identify, record, document thoroughly and track bugs</li><li>Perform thorough regression testing when bugs are resolved</li><li>Develop and apply testing processes for new and existing products to meet client needs.</li><li>Track quality assurance metrics, like defect densities and open defect counts.</li><li>Agile development processes and testing methodologies.</li></ul><p><strong>Requirements:</strong></p><ul><li>4+ Years of experience in Software Testing, with a focus on comprehensive web application testing.</li><li>Exposure to automation framework, SQL, Database queries, python, Selenium.</li><li>A real passion for product quality and uncovering hard to find scenarios and bugs. You have high attention to detail, and you are good at finding edge cases.</li><li>In-depth understanding of testing technologies and best practices.</li><li>Experience in developing test automation tools and frameworks with hands on technical and programming skills.</li><li>Experience developing automated tests.</li><li>Understanding of following tools: Visual Studio, Jira, Confluence, Social coding, Sonar qube,egg plant</li><li>Experience in Software/Test framework Design &amp; architecture.</li><li>Hands on experience in open-source python libraries and unit Test framework design.</li><li>Experience in prioritizing scope, requirements, bug tracking software applications.</li><li>Good communication, organization and coordination skills.</li><li>Strong analytical, problem-solving, and troubleshooting techniques.</li></ul><p><strong>Mandatory Skills:</strong></p><ul><li>Python</li><li>SQL</li><li>Selenium</li><li>Eggplant</li><li>Unit Testing Frameworks</li><li>Agile Scrum/Kanban</li></ul></body></html>",Coimbatore
443,"<html><body><p>Roles and Responsibilities</p><p>• Experience in HiL testing [Open &amp; Closed loop testing], Simulation based testing<br/>• Perl/Python/CAPL scripting experience<br/>• Knowledge of Vector tools like CANoe, CANape<br/>• Awareness on automotive protocols like CAN, Flexray, Ethernet, KWP2000, LIN, UDS…<br/>• Awareness on Autosar framework/standards<br/>• Good knowledge of A-Spice / CMMI / ISO quality standards<br/>• Good awareness of hardware<br/>• Automotive system knowledge (ECU, Sensors, Software) and technical mindset<br/>• Excellent Communication and Interpersonal skills<br/>• Awareness on project life cycle<br/>• Hands on experience in test development and automation<br/>• ISTQB/IREB Certification</p><p> </p><p>Soft skill requirements</p><ul><li>Team player</li><li>Ability to work independently under minimal supervision </li><li>Willingness to learn new technical topics.</li></ul></body></html>",Coimbatore
444,"<html><body><p><strong>Responsibilities:</strong></p><ul><li>Utilizing Microsoft's .NET infrastructure to create software solutions that meet clients' requirements.</li><li>Design a software architect using UML / Enterprise Architecture.</li><li>Collaborating with coworkers to facilitate the creation of large, complex developments, as required.</li><li>Reformulating existing code to ensure adherence to stipulated guidelines.</li><li>Ensuring that outputs are visually appealing, user-friendly, and engaging.</li><li>Deploying developments and monitoring uptake by the target audience.</li><li>Using clients' feedback to inform the creation of subsequent versions of each development.</li></ul><p><strong>Mandatory Skills:</strong></p><ul><li>Familiarity with the .NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC).</li><li>Hands on experience in C#, .Net Core, UML / Enterprise Architecture.</li><li>Experience in Node Js, WebPack.</li><li>Strong Hands-on Experience in C# and Web-API REST Services</li><li>Strong Hands-on Experience in jQuery and JavaScript</li><li>Strong in Entityframwork and LINQ.</li><li>Strong experience in Unit Testing Frameworks for C#.</li><li>Strong Development experience in Agile Scrum/Kanban based projects.</li><li>Micro services using .NET Core-WebAPI is an added advantage.</li><li>Re-Factoring and Re-Engineering Project Experience is an added advantage.</li><li>Experience in Open source technologies is an added advantage</li></ul></body></html>",Coimbatore
445,"<html><body><ul><li><p>Requirement Analysis and Understanding</p></li><li><p>Technical inputs for Estimation</p></li><li><p>Prepare High Level and Low Level Design</p></li><li><p>Develop or enhance the software modules for BT/WIFI as requested by the customer</p></li><li><p>Preparation of Test Specifications and review</p></li><li><p>Analyzing and fixing of issues reported in the component</p></li><li><p>Causal analysis and Preventive actions - Technical issues</p></li><li><p>Assure product quality characteristics fulfilments</p></li><li><p>Porting, optimization and integration of components</p></li><li><p>Documentation – Functional description, user manual, etc</p></li><li><p>Adaptation/extensions to existing software component</p></li><li><p>Support customer projects in analysing and fixing the issues reported in integrated product environment.</p></li><li><p> </p><p>Worked in Agile/Scrum/Safe strcuture</p> <p><u><strong>Technical Competency </strong></u></p></li><li><p>Good Understanding of BT,Wi-Fi Profiles    </p></li><li><p>Excellent Hands on experience in C++ with Firmware or Middleware or low level development of Blue Tooth or Wireless (WIFI) technologies</p></li><li><p>Exposure to Linux and Android based systems</p></li><li><p>Knowledge on Automotive Domain IPCs like D-Bus</p></li><li><p>Have worked with source control tools like Clear case ,Git/Gerit  </p></li><li><p>Prior work experience in Automotive domain is preferable</p></li><li><p>Work experience in Java and Connectivity products like Telematics, V2X is an added advantage</p><p> </p><p><u><strong>Required Soft Skills Competency </strong></u></p></li><li><p>Self-directed and a good team player</p></li><li><p>Problem Solving attitude</p></li><li><p>Excellent oral and written communication skill</p></li></ul></body></html>",Coimbatore
446,"<html><body><p>Roles and Responsibilities</p><ul><li>Autosar based diagnostic and  network component development</li><li>Realizing customer requirements on diagnostic and network relevant software topics</li><li>SW development according to ASPICE standards</li><li>Integrate and test AUTOSAR BSW modules mainly Comstack, DEM and DCM.</li><li>Project specific configuration of corresponding AUTOSAR components (e.g. DCM and COM)</li><li>Connect and Collaborate with cross discipline teams like Application and HW abstraction modules.</li><li>Perform unit test, component test and integration test of the developed module to verify the system behavior.</li><li>Ensure system compliance with CARB(California Air Resources Board) /OBD and ASIL (Automotive Safety Integrity Level) requirements.</li><li>Participate in technical reviews and brain storming sessions organized within the team.</li><li>Act as an interface between customer Projects and AUTOSAR platform.</li><li>Provide customer team support for project specific implementation and testing.</li></ul><p>Requirements</p><ul><li>Strong Knowledge of Autosar</li><li>Strong Knowledge in automotive network and diagnostic protocols such as CAN, LIN, Flexray, Ethernet, J1939, UDS, OBD II</li><li>Proficiency in embedded C programming language.</li><li>Good knowledge of the SW development life cycle</li><li>Automotive Embedded Knowledge / Experience</li><li>Excellent Communication and presentation skills</li><li>Background in automotive systems is desirable</li><li>Programming experience in C, C#, C++, Python, Perl. Expertise in  CAPL</li><li>Knowledge / experience with Quality process &amp; Safety-standards</li></ul><p>Soft skill requirements</p><ul><li>Team player</li><li>Ability to work independently under minimal supervision </li><li>Willingness to learn new technical topics.</li></ul></body></html>",Coimbatore
447,"<html><body><p>Experience in programming Embedded C applications.</p><p>• Strong development experience in embedded C and RTOS</p><p>• Strong debugging skills</p><p>• Embedded development tools and methodologies</p><p>• Version Control Systems – Clear Case / RTC /GIT</p><p>Should have detailed knowledge on microcontrollers / microprocessors</p><p>Should have detailed knowledge on Battery Electric Vehicle Powertrain (BEV), Fuel Cell and H2-Motor</p><p>Should have detailed knowledge in powertrain function development for BEV, Fuel Cell and H2-Motor </p><p>Strong development experience in MATLAB for powertrain function development</p><p>Strong development experience in CAN / LIN /Flexray / UDS / KWP, SPI communication protocols</p><p>Knowledge in tools like CANalyser / CANoe, CANDiva, CANstress, CANDELA studio, Lauterbach</p><p>Experience in scripting languages like Shell / Perl / CAPL / Make etc.,</p><p>Experience in using tools like Logiscope / Function Generator / Oscilloscope, etc</p><p>Experience in configuration management &amp; defect tracking tools</p><p>Automotive domain and powertrain systems knowledge a plus</p><p>Ability to work as part of a dedicated project team and independently</p><p>Strong communication and interpersonal skills.</p><p>Must be a self-starter.</p></body></html>",Coimbatore
448,"<html><body><p>Education and Work Experience Requirements:</p><p>Worked in Steering/Power train/Brakes/Transmission domain<br/>• Strong development experience in embedded C<br/>• Worked with AUTOSAR / Application and Driver Development, standards such as ISO14229, ISO TP<br/>• Strong knowledge in requirements management tools – DOORS<br/>• Knowledge in UML based tools like Enterprise Architect/starUML is preferred.<br/>• Worked with Configuration management tools like Clear case/SVN/VSS<br/>• Worked with Change management tools like Clear Quest<br/>• Knowledge / experience with Quality process &amp; Safety-standards such as ASPICE/CMMI, ISO 26262<br/>• Excellent Communication and Interpersonal skills</p><p>• Should have good experience in embedded design and development projects.<br/>• Must to have a good knowledge of C programming.<br/>• Must to have worked on any of the 8/16/32 bit microcontroller for data acquisition using ADC and to control the external devices like motor and other peripheral devices.<br/>• Should have a good knowledge or must have used any one of the these protocols,CANFlexRay,SPI,UART, I2C<br/>• Good to have worked on a control and data acquisition systems<br/>• Good communication and presentation skills.<br/>• Should be a BE/B.tech / M.E,M.Tech graduate.</p></body></html>",Coimbatore
449,"<html><body><p>We are in the exciting and cutting-edge space of autonomous driving. We are looking for go-getters who would join us in this journey and design algorithms fit for Level 3 – Level 5 autonomous systems.</p><p><strong>Here is what to expect</strong></p><p>You will be developing / Validating Software for High precision localization functions using GNSS.</p><p><strong>Skills that you should have </strong></p><ul><li>Expertise in working with positioning sensors like GNSS receivers, gyroscopes and accelerometers</li><li>Expertise in Localization concepts (Kalman filters, dead reckoning)</li><li>Expertise in Statistical signal processing - estimation techniques and correction (Filter) models</li><li>In-depth know-how on Fusing Navigation and Inertial states based estimators(Extended Kalman Filters)</li><li>SW development expertise in C/C++ programming</li><li>Experience in Requirements Elicitation, Concept, Design, Development and Testing</li><li>Expertise in Debugging techniques and methods</li><li>Experience in the usage of testing-tools like debugger, simulator &amp; Vector tools</li><li>Experience in AUTOSAR development environment</li><li>Good knowledge of ASPICE standard</li><li>Good knowledge of ASIL Safety standard</li><li>Excellent Communication and Interpersonal skills</li></ul><p><strong>Skills that would give you an additional advantage </strong></p><ul><li>Knowledge of OOP concepts</li><li>Experience with tools like Doors, ALM etc...</li><li>Knowledge of Automotive standards line ASIL and ASPICE</li></ul></body></html>",Bengaluru
450,"<html><body><p><u>This listing is for IJR only.</u></p><p><u>Requirements:</u></p><p>1. 7 to 9 years of testing Experience in automotive Embedded domain<br/>2. Programing skills - Python / CAPL<br/>3. Hands on experience in CAN, Diagnosis modules<br/>4. Functional test experience in OEM projects. Experience of working in Car Multimedia division is an added advantage<br/>5. Excellent communication skills, able to work independently</p><p>6. Target level: 51/52</p></body></html>",Bengaluru
451,"<html><body><p> Hands on <strong>experience in engine management,</strong> preferably in <strong>EMS function development</strong> area using</p><p> <strong>Hands on experience in programming in 'C' and/or assembly for real time embedded systems</strong><br/> Experience in HIL, SIL.</p><p> Functional Know-How - for example :<u> Engine functions, BSW</u><br/> Experience in using testing and application tools like INCA/ES590, LabCar, Canalyzer etc<br/> Basic know how on ASPICE and AUTOSAR</p><p> Effective customer coordination skills and very good communication<br/> Commitment to meet quality and time targets in the project<br/> Need to have a passion for automotive engineering<br/> Flexibility and readiness to travel onsite if required by customer<br/> Able to solve the technical problems/Queries independently with minimum customer interaction<br/> German Knowledge would be additional advantages</p><p> Know-how on ASCET/MATLAB (good to have)</p></body></html>",Bengaluru
452,"<html><body><p><strong></strong></p><p><u> </u></p><p><strong>Location                            : Bangalore</strong></p><p><strong>Experience                       : 8 to 10 Years</strong></p><p><strong><u>Skills</u></strong></p><ul><li>Good understanding in Active Directory Infrastructure Services and hands on experience of managing the Operations and trouble tickets</li><li>Good knowledge and experience with managing MS Teams design</li><li>Expert knowledge in managing the Day to Day Operations AD Health</li></ul><p> </p><p><strong><u>Responsibilities</u></strong></p><p><strong><u> </u></strong></p><ul><li>Administration of FSMO roles, trusts, Kerberos KDCs, replication topology for the forest/domain</li><li>Monitoring connectivity, synchronization, replication, net logon, time services, schema, NTDS database partitions, DNS settings, SRV records, and trust relationships</li><li>Management of group policy at root of domain in guidelines</li><li>Management of AD sites and Services, Domain DNS Services, DHCP</li><li>Handle Backups and restoration of Active directory Servers</li><li>Full disaster recovery plan and practice recovery of DCs and core Directory objects</li></ul><p>• Management of group policies, Management of AD sites and Services, Domain DNS Services, DHCP services</p><p> </p></body></html>",Bengaluru
453,"<html><body><p>Develop Radio  Receiver software for both analog and digital reception technologies such as FM, AM, DAB, DRM, DAB+, HD Radio.</p><p>Radio Receiver is being offered to various customer as ""Software as a Product"". Current customers include Nissan and Daimler among others</p><p>Requirement</p><ul><li><p>Excellent C programming &amp;work experience in C and problem solving skills.</p></li><li><p>Good understanding on Google Unit Test framework.</p></li><li><p>Experience in developing unit tests for software modules in ARM and X86 Platforms.</p></li><li><p>Exposure to Linux development environment.</p></li><li><p>Hands on experience in setting up and working with Target hardware. Real time debugging on hardware using Emulators / Debuggers and software debugging skills.</p></li><li><p>Experience in working with CVS/ Clear Case/ GIT / Eclipse environment</p></li><li><p>Good communication skills and handle customer calls independently when required</p></li><li><p>Self directed and a good team player with willingness to stretch when required</p></li><li><p><strong>Below skills will be and Added Advantage</strong></p></li><li><p> ARM/DSP architecture knowledge. Code and data memory understanding.</p></li><li><p>Knowledge in Radio Communication algorithms</p></li><li><p>Programming knowledge  on C++</p></li></ul></body></html>",Bengaluru
454,"<html><body><p><strong><u>Tasks</u></strong></p><p><strong>Development &amp; maintenance of AUTOSAR on various diagnostic components</strong></p><p><strong><u>Profile:</u></strong></p><p><strong>Mandatory Competencies</strong></p><p><strong>·       </strong><strong>Good Understanding of automotive diagnostics protocols like KWP, UDS, etc</strong></p><p><strong>·       </strong><strong>Good understanding of protocol standards like ISO14229, etc</strong></p><p><strong>·       </strong><strong>Knowledge on Automotive domain – Bus systems like CAN,FR,ETH </strong></p><p><strong>·       </strong><strong>Should have hands on AutoSAR experience preferably in components like DCM, DEM, UDS,DOIP,CanTp,J1939, FrTp, DEM, etc</strong></p><p><strong>·       </strong><strong>Should be familiar with SDLC or PDLC</strong></p><p><strong>Desirable Skills</strong></p><p><strong>•    Working experience in AUTOAR software development methodology</strong></p><p><strong>•    Embedded software de-bugging skills</strong><br/><strong>•    Knowledge of Autosar architecture</strong><br/><strong>•    Knowledge of integrating basic software</strong><br/><strong>•    Working experience at customer location</strong></p></body></html>",Bengaluru
455,"<html><body><p> Requirement analysis, Design &amp; Implementation of Algorithms and Functions for Radar based Advanced Driver Assistance Systems for Comfort and Safety Functions (ACC, AEB).<br/>• Development, test execution as a part of development.<br/>• Delivery/Configuration management.<br/>• Participation in regular scrum ceremonies, Project/Customer meetings.<br/>• Mentoring team in usage of features available in the build environment.<br/>• Regular Interaction with other function development team to solve issues faced by them in running the simulations</p></body></html>",Bengaluru
456,"<html><body><p>Experience - 4-6 years</p><p>2 years of SAP CPI, In that 2 year of SAP PI/PO experience must (Hana Cloud Integration/Cloud Platform Integration).</p><p>·       Individual contributor and be ready to work in Development, Support &amp; Maintenance projects within SAP PI/PO and CPI projects.</p><p>·       Expertise in various SAP XI/PI/PO Tools - ESR, ID, RWB and knowledge on SLD.</p><p>·       Within SAP PI/PO - Have worked on various technical adapters like: File, JDBC, JMS, IDoc, RFC, SOAP, HTTP, etc.</p><p>·       Expertise in design, build, testing and troubleshooting integrations built using SAP CPI.</p><p>·       Should be strong in defining custom Iflows, local &amp; exception sub-process</p><p>·       Expertise in Java Mappings, Groovy scripts, XSLT, graphical mapping.</p><p>·       Within CPI, Expertise in handling integrations using SFSF, ODATA, SFTP, IDOC, SOAP, HTTP, Process Direct, REST Adapters.</p><p>·       Should have experience in handling different data conversions like json to xml, csv to xml etc.</p><p>·       Should have experience in using various CPI pallet options (Integration patterns – Message transformations, Enricher, splitter, etc.)</p><p>·       Should have knowledge in handling security artifacts, encryption and decryption mechanisms.</p><p>·       Good to have Interface migration experience from SAP PI 7.x to latest SAP PO 7.x environments.</p><p>·       Should be flexible to work in shifts and if necessary extend support during weekends.</p></body></html>",Bengaluru
